주제ID,주제,진입각도,카테고리,관련증상·성분,국내사용횟수,최고배수,대표영상URL,최근사용일,소진도,논쟁성(상·중·하),약사권위활용도(상·중·하),제품연결가능성,배정가능인물,상태,사람검토,사람메모
TOPIC-OMEGA3-RAW-MATERIAL-PURITY-001,오메가3 원료·함량·순도 확인,EPA+DHA 함량·원료 공급처·개별 포장·순도를 구매 전 체크리스트로 제시,영양제·엄마웰니스,오메가3·EPA·DHA·순도·개별포장·보관,1,0.88,https://www.instagram.com/slowpharmacy/reel/DbgVUFJh7-g/,2026-08-02,미조사,중,상,높음,김주성·오약·선영·공용,후보,검토,수치와 제품별 근거를 분리해 확인 | 최고배수 보정(2026-08-06): 국내사용횟수 1건의 대표영상URL DbgVUFJh7-g에서 배수 0.88 확인
TOPIC-FAMILY-CHEWABLE-OMEGA3-GROUPBUY-001,온가족 츄어블 오메가3 공동구매,마켓 기간·구매 방법·구매 인증·다박스 할인으로 가족용 제품 선택을 안내,영양제·엄마웰니스,온가족·츄어블·오메가3·마켓오픈·구매인증·할인,1,0.59,https://www.instagram.com/slowpharmacy/reel/DbRrVrvTpYn/,2026-07-27,미조사,중,상,높음,김주성·오약·선영·공용,후보,검토,구매 조건과 가족별 적합성을 구분 | 최고배수 보정(2026-08-06): 국내사용횟수 1건의 대표영상URL DbRrVrvTpYn에서 배수 0.59 확인
TOPIC-OMEGA3-COLD-SHIPPING-OPEN-001,오메가3 냉장배송·공동구매 오픈,오픈일·냉장배송·할인·이벤트 조건을 사전 카드로 비교,영양제·엄마웰니스,오메가3·오픈알림·냉장배송·공동구매·할인·이벤트,1,,https://www.instagram.com/slowpharmacy/p/DbKwu5UEVaH/,2026-07-24,미조사,중,중,높음,김주성·오약·선영·공용,후보,검토,배송·할인 조건의 적용 기간과 출처를 표시
TOPIC-CHILD-SUPPLEMENT-ROUTINE-29M-001,29개월 아이의 하원 후 영양제 루틴,연령·시간대·행동을 관찰해 보호자가 확인할 루틴 포인트를 제시,아이영양·엄마웰니스,29개월·아이영양·영양제루틴·하원후·약국,1,0.22,https://www.instagram.com/slowpharmacy/reel/Da-kxOehqHr/,2026-07-19,미조사,중,상,중,김주성·오약·선영·공용,후보,검토,루틴 관찰을 섭취 권장·효능 주장으로 일반화하지 않음 | 최고배수 보정(2026-08-06): 국내사용횟수 1건의 대표영상URL Da-kxOehqHr에서 배수 0.22 확인
TOPIC-HEATWAVE-HYDRATION-ENERGY-COMBINATION-001,폭염 수분·기력 보충 조합,폭염 상황에서 수분·아르기닌·마그네슘 제품을 약국템 조합으로 제시,생활건강·약상담,폭염·수분·아르기닌·마그네슘·피로,1,1.1,https://www.instagram.com/iam_yaksa/reel/DbniqwRz4jS/,2026-08-04,미조사,상,상,높음,김주성·오약·선영·공용,후보,검토,폭염 증상과 제품 조합을 의학적 진단으로 확대하지 않음 | 최고배수 보정(2026-08-06): 국내사용횟수 1건의 대표영상URL DbniqwRz4jS에서 배수 1.1 확인
TOPIC-LIPOSOMAL-VITAMINC-GROUPBUY-001,리포좀 비타민C 공동구매,"1,000mg 제품의 특징·연령별 용량·오픈 일정·구매 이벤트를 함께 안내",영양제·약상담,"리포좀·비타민C·1,000mg·연령별용량·공동구매",1,,https://www.instagram.com/iam_yaksa/p/DbmVwDsGSOK/,2026-08-04,미조사,중,상,높음,김주성·오약·선영·공용,후보,검토,용량·기간·이벤트 조건을 제품 표시와 함께 고지
TOPIC-VITAMINC-WHO-NEEDS-001,비타민C 섭취를 고려할 대상,비타민C의 핵심 목적과 섭취를 고려할 생활 상황을 구분해 설명,영양제·약상담,비타민C·항산화·피부·면역·만성피로,1,,https://www.instagram.com/iam_yaksa/p/Dbk7A3skS9Z/,2026-08-03,미조사,중,상,중,김주성·오약·선영·공용,후보,검토,광고 표기 없음; 질환 예방·치료 주장으로 확대하지 않음
TOPIC-VITAMINC-GIVEAWAY-OPEN-001,비타민C 나눔·오픈알림,댓글 참여·나눔·오픈 일정·구매 이벤트를 한 흐름으로 설계,영양제·약상담,비타민C·나눔·알림·공동구매·구매이벤트,1,,https://www.instagram.com/iam_yaksa/p/DbiZ40DEdI1/,2026-08-02,미조사,중,상,높음,김주성·오약·선영·공용,후보,검토,나눔·이벤트와 제품 효능을 혼동하지 않음
TOPIC-RAEL-WOMENS-PRODUCT-CATEGORY-001,라엘 여성용품 제품군·공동구매,생리대·라이너·오버나이트·탐폰·청결제·의료기기를 용도별로 비교,여성건강·생활용품,라엘·생리대·팬티라이너·오버나이트·탐폰·청결제·의료기기,1,,https://www.instagram.com/byak_yaksa/p/DbmVHPVmNfA/,2026-08-04,미조사,상,상,높음,김주성·오약·선영·공용,후보,검토,의료기기와 생리용품을 구분해 설명
TOPIC-SANITARY-STORAGE-ERROR-CORRECTION-001,생리대 보관 오정보 정정,문헌 검토로 이전 설명을 정정하고 습기 많은 보관 장소를 피하도록 안내,여성건강·생활안전,생리대·보관·습기·오정보정정·문헌검토,1,0.36,https://www.instagram.com/byak_yaksa/reel/DbnvjIkO2iS/,2026-08-04,미조사,중,상,중,김주성·오약·선영·공용,후보,검토,오류 인정·근거 공개·실천 기준을 연결 | 최고배수 보정(2026-08-06): 국내사용횟수 1건의 대표영상URL DbnvjIkO2iS에서 배수 0.36 확인
TOPIC-HORMONE-DAILY-MONTHLY-CYCLE-001,남녀 호르몬 일주기·월주기 비교,테스토스테론과 에스트로겐·프로게스테론의 주기 차이를 비교표로 설명,여성건강·약사교육,테스토스테론·에스트로겐·프로게스테론·생리주기·컨디션,1,,https://www.instagram.com/byak_yaksa/p/DbkmjYAmNlx/,2026-08-03,미조사,상,상,중,김주성·오약·선영·공용,후보,검토,성별 일반화·질환 진단으로 확대하지 않음
TOPIC-RAEL-GIVEAWAY-GROUPBUY-001,라엘 여성용품 선물·구매 혜택,댓글 선물·할인·구매자 오버나이트 증정으로 공동구매 참여를 유도,여성건강·생활용품,생리대·라엘·오버나이트·선물·할인·공동구매,1,0.46,https://www.instagram.com/byak_yaksa/reel/DbixYb4ROz7/,2026-08-03,미조사,중,상,높음,김주성·오약·선영·공용,후보,검토,이벤트·할인 조건을 효능 주장과 구분 | 최고배수 보정(2026-08-06): 국내사용횟수 1건의 대표영상URL DbixYb4ROz7에서 배수 0.46 확인
TOPIC-LIVER-UNHEALTHY-HABITS-5-001,간 건강을 해치는 생활 습관 5가지,술 외의 생활 습관을 체크리스트로 점검,건강·간·생활습관,과음·진통제·야식·운동·에너지드링크,1,,https://www.instagram.com/awesomeyaksa/reel/Dbh7e3SibuM/,2026-08-02,미조사,중,상,중,김주성·오약·선영·공용,후보,검토,
TOPIC-VITAMINC-AMPOULE-ABSORPTION-001,비타민C 앰플 흡수 루틴,3단계 사용 순서로 흡수 팁을 설명,피부·영양제,비타민C·앰플·흡수·사용순서,1,,https://www.instagram.com/awesomeyaksa/reel/Dbb5cE1y-kx/,2026-07-31,미조사,중,중,높음,선영·오약·공용,후보,검토,
TOPIC-VITAMINC-24PERCENT-MARKET-001,24% 비타민C 앰플 함량 업그레이드,15%에서 24%로 바뀐 함량과 마켓 기간을 비교,피부·영양제,비타민C·24%·15%·함량·최저가,1,,https://www.instagram.com/awesomeyaksa/p/DbZXpfJksw_/,2026-07-30,미조사,중,중,높음,선영·오약·공용,후보,검토,
TOPIC-DIET-ALCOHOL-CALORIE-COMPARE-001,다이어트 중 술 종류 비교,주요 술 종류를 다이어트 선택 기준으로 비교,다이어트·영양,소주·막걸리·와인·하이볼·위스키·열량,1,,https://www.instagram.com/awesomeyaksa/reel/DbW6PKSiPye/,2026-07-29,미조사,중,상,중,오약·선영·공용,후보,검토,
TOPIC-COSMETIC-MARKETING-METHODS-001,흔한 화장품 마케팅 방법,마케팅 표현을 소비자 판단 기준으로 해석,피부·건강상식,화장품·마케팅·피부·광고판별,1,1.04,https://www.instagram.com/donggong_yak/reel/DbmF-D_To9c/,2026-08-04,미조사,중,중,중,김주성·오약·선영·공용,후보,검토,최고배수 보정(2026-08-06): 국내사용횟수 1건의 대표영상URL DbmF-D_To9c에서 배수 1.04 확인
TOPIC-SKIN-ABSORPTION-QUESTION-001,손에 남지 않는 화장품의 피부 흡수,일상 질문에서 피부 흡수와 각질·기기 침투 한계를 설명,피부·건강상식,화장품·피부흡수·각질·피부장벽,1,1.17,https://www.instagram.com/donggong_yak/reel/Dbg8ZqUTag2/,2026-08-02,미조사,중,상,중,김주성·선영·공용,후보,검토,최고배수 보정(2026-08-06): 국내사용횟수 1건의 대표영상URL Dbg8ZqUTag2에서 배수 1.17 확인
TOPIC-SLEEP-QUALITY-SPONSORED-BOOK-001,수면의 질과 피로,수면 부족 고민을 책 정보와 수면의 질 개선으로 연결,수면·건강상식,수면·피로·수면의 질·생활습관,1,0.56,https://www.instagram.com/donggong_yak/reel/DbRflVwTvzf/,2026-07-27,미조사,중,상,중,김주성·오약·선영·공용,후보,검토,최고배수 보정(2026-08-06): 국내사용횟수 1건의 대표영상URL DbRflVwTvzf에서 배수 0.56 확인
TOPIC-MONAMI-153-BRAND-STORY-001,모나미 153 숫자 브랜드 스토리,개인 기억과 숫자 단서로 브랜드 의미를 퀴즈처럼 전달,브랜드·건강상식,모나미·153·브랜드·숫자·스토리,1,,https://www.instagram.com/donggong_yak/p/Da5B14-mrcO/,2026-07-17,미조사,중,중,중,김주성·오약·선영·공용,후보,검토,
TOPIC-SLEEP-SUPPLEMENT-DOSE-MATCH-001,증상별 수면 성분과 유효용량,입면·중간각성·잡생각 등 수면 문제를 성분과 용량 비교로 설명,수면·영양,멜라토닌·마그네슘·테아닌·GABA·감태추출물·수면,1,0.31,https://www.instagram.com/salt.yaksa/reel/Dbf1mJkzW5M/,2026-08-01,미조사,중,상,중,김주성·오약·선영·공용,후보,검토,최고배수 보정(2026-08-06): 국내사용횟수 1건의 대표영상URL Dbf1mJkzW5M에서 배수 0.31 확인; 최근사용일 보정(2026-08-06): 동일 대표영상의 contents.csv 게시일 2026-08-01
TOPIC-SKIN-AGING-5RISKS-001,피부 노화를 부르는 생활상황 5가지,생활습관을 순위로 제시하고 피부장벽·광노화와 연결,피부·건강상식,뜨거운 물·당독소·흡연·자외선·수면 부족·세라마이드·광노화,1,1.81,https://www.instagram.com/salt.yaksa/reel/Dbdb7Lyz3K-/,2026-07-31,미조사,중,상,중,김주성·오약·선영·공용,후보,검토,최고배수 보정(2026-08-06): 국내사용횟수 1건의 대표영상URL Dbdb7Lyz3K-에서 배수 1.81 확인; 최근사용일 보정(2026-08-06): 동일 대표영상의 contents.csv 게시일 2026-07-31
TOPIC-BURNOUT-SLEEP-RECOVERY-001,번아웃 회복과 저녁 루틴,번아웃 개인 경험을 생활요법·수면·영양제 루틴으로 연결,스트레스·수면·웰니스,번아웃·워커홀릭·암흑샤워·디지털차단·브레인덤프·테아닌·마그네슘·홍경천,1,4.9,https://www.instagram.com/salt.yaksa/reel/Dbasl3VTGLs/,2026-07-30,미조사,중,상,중,김주성·오약·선영·공용,후보,검토,최고배수 보정(2026-08-06): 국내사용횟수 1건의 대표영상URL Dbasl3VTGLs에서 배수 4.9 확인; 최근사용일 보정(2026-08-06): 동일 대표영상의 contents.csv 게시일 2026-07-30
TOPIC-FOOD-STORAGE-001,식품별 보관 위치와 식중독 예방,냉장이 항상 안전하지 않다는 오해를 식품별 보관 위치·온도와 3원칙으로 교정,생활건강·식품,감자·토마토·바나나·빵·양파·마늘·달걀·가공육·식중독·보관온도,1,1.5,https://www.instagram.com/bodoc_official/reel/DY4dbNcv_rA/,2026-05-28,미측정,중,상,낮음,김주성·오약·선영·공용,후보,검토,출처·수치·보관 3원칙이 명확한 F급 예외 후보. 식품 안전과 약 보관 정보로 확장 가능.
