핸들,이름,계정유형,국가,팔로워,게시물수,최근30일게시수,최근12개중앙조회수,최고조회수,배수상위3개,평소좋아요율,주력카테고리,최근20개중광고수,공구·판매링크운영,배정적합(김·오·선),등급(S·A·B·제외),허수판정,허수사유,마지막정면채굴일시,마지막확인shortcode,재방문예정일,발굴경로(엔진·시드계정),이계정채택수,사람검토,사람메모
dana_pharmacy_,평택시약사 / 평택다나약국,국내 메디컬 인접 계정,,447,211,0,1221.5,734000,,,약국·지역건강·복약지도·지역의료,,있음,공용,B,실계정,,2026-08-06T00:45:56.465Z,CvH0muHsXkf,2026-08-12T01:43:04+09:00,E1 공개 웹 후보·Instagram 직접 확인,0,,"2026-08-05 최근12 관측: 공개 릴스 12/12 확인, 공개 좋아요 미노출로 평소좋아요율 미기록 | 2026-08-06 최근12 관측 완료; 조회수·중앙값·최고조회수 미기록: 공개 조회수 미노출 | 평소좋아요율 미확인: 콘텐츠 원장에 계정평소좋아요율 원값 없음"
bebememo_kr,베베메모,국내 메디컬 인접 계정,,3.4만,483,11,7903,16000,,,영유아·육아·배변훈련·가족건강·앱,,있음,공용,B,실계정,,2026-08-06T00:08:20.743Z,DbnZ2X1khOT,2026-09-05T09:08:20.743+09:00,E1 공개 웹 후보·Instagram 직접 확인,0,,"2026-08-05 최근12 관측: 조회수 12/12, 공개 좋아요 0/12 | 2026-08-06 최근12 관측 완료; 조회수·중앙값·최고조회수 미기록: 공개 조회수 미노출 | 평소좋아요율 미확인: 콘텐츠 원장에 계정평소좋아요율 원값 없음; 릴스 없음 큐 정리(2026-08-06): QUEUE.csv 정확한 보류사유 확인 후 완료 처리. 재방문예정일을 마지막 정면채굴일시+30일로 설정"
heimish__h_,헤이미쉬에이치_H언니의 선물템들,국내 메디컬 인접 계정,,3835,1124,,4951,156000,,,건강·육아·공구·생활용품·영양제,,있음,공용,B,실계정,,2026-08-06T00:28:11.851Z,Dbk5ZYooIcp,2026-09-05T09:28:11.851+09:00,E1 공개 웹 후보·Instagram 직접 확인,0,,"2026-08-05 최근12 관측: 조회수 12/12, 공개 좋아요 0/12 | 2026-08-06 최근12 관측 완료; 조회수·중앙값·최고조회수 미기록: 공개 조회수 미노출 | 최근30일게시수 미확인: 최근 12개 원문이 완전하지 않음 | 평소좋아요율 미확인: 콘텐츠 원장에 계정평소좋아요율 원값 없음; 릴스 없음 큐 정리(2026-08-06): QUEUE.csv 정확한 보류사유 확인 후 완료 처리. 재방문예정일을 마지막 정면채굴일시+30일로 설정"
time4pharm,약먹을시간,국내 약사 인플루언서,,2838,388,0,2584,5082,,,약정보·건강·약사듀오·복약상담,,있음,김주성·오약·선영·공용,B,실계정,,2026-08-05T23:50:45.958Z,C32Bj6srdMP,2026-09-05T08:50:45.958+09:00,E1 공개 웹 후보·Instagram 직접 확인,0,,"2026-08-05 최근12 관측: 조회수 12/12, 공개 좋아요 0/12 | 2026-08-05 최근12 관측 완료; 조회수·중앙값·최고조회수 미기록: 공개 조회수 미노출 | 평소좋아요율 미확인: 콘텐츠 원장에 계정평소좋아요율 원값 없음; 릴스 없음 큐 정리(2026-08-06): QUEUE.csv 정확한 보류사유 확인 후 완료 처리. 재방문예정일을 마지막 정면채굴일시+30일로 설정"
official_naproud,naproud 나프라우드,국내 메디컬 인접 계정,,258,61,,135.5,190,,,건강정보·어린이건강·피부·성분표·가족건강,,있음,공용,B,실계정,,2026-08-05T18:05:40.158Z,Dbp2sSMxYG6,2026-08-12T01:51:33+09:00,E1 공개 웹 후보·Instagram 직접 확인,0,,"2026-08-05 최근12 관측: 공개 릴스 12/12 확인, 공개 좋아요 미노출로 평소좋아요율 미기록 | 최근30일게시수 미확인: 최근 12개 원문이 완전하지 않음 | 평소좋아요율 미확인: 콘텐츠 원장에 계정평소좋아요율 원값 없음"
yakdangdang,약당당 | 약사 이현정,국내 약사 인플루언서,,10.9만,611,,46000,111000,,,피부·이너뷰티·영양제·약사,,있음,김주성·오약·선영,B,실계정,,2026-08-08T14:18:59+09:00,DbvN0kcJv0v,2026-09-07T14:18:59+09:00,E1 공개 웹 후보·Instagram 직접 확인,0,,"2026-08-05 최근12 관측 완료; 조회수·중앙값·최고조회수 미기록: 공개 조회수 미노출 | 최근30일게시수 미확인: 최근 12개 원문이 완전하지 않음 | 평소좋아요율 미확인: 콘텐츠 원장에 계정평소좋아요율 원값 없음; 릴스 없음 큐 정리(2026-08-06): QUEUE.csv 정확한 보류사유 확인 후 완료 처리. 재방문예정일을 마지막 정면채굴일시+30일로 설정 | 2026-08-08 logged-in read-only recent12: 12/12 reel views; median 46000; max 111000; no pinned tile indicator exposed; recent30 post count, usual-like rate, and recent20 ad count unresolved."
gunginam_tv,건기남,국내 메디컬 인접 계정,,2.6만,283,9,11723.5,223000,,,건강기능식품·영양제·의학영양·제조·유통,,있음,공용,B,실계정,,2026-08-06T00:11:22.094Z,DY_4y8hvZYd,2026-09-05T09:11:22.094+09:00,E1 공개 웹 후보·Instagram 직접 확인,0,,"2026-08-05 최근12 관측: 조회수 12/12, 공개 좋아요 0/12 | 2026-08-06 최근12 관측 완료; 조회수·중앙값·최고조회수 미기록: 공개 조회수 미노출 | 평소좋아요율 미확인: 콘텐츠 원장에 계정평소좋아요율 원값 없음; 릴스 없음 큐 정리(2026-08-06): QUEUE.csv 정확한 보류사유 확인 후 완료 처리. 재방문예정일을 마지막 정면채굴일시+30일로 설정"
jaedol_yaksa,재돌약사 이재연 | 제대로 돌아가는 건강루틴✨,국내 약사 인플루언서,,1.9만,344,,,,,,임신·출산·영양제·여성건강·혈당·웰에이징,,있음,김주성·오약·선영,B,실계정,,2026-08-05T23:44:09.321Z,DbZm0r7pzuF,2026-09-05T08:44:09.321+09:00,E1 공개 웹 후보·Instagram 직접 확인,0,,2026-08-05 최근12 관측 완료; 조회수·중앙값·최고조회수 미기록: 공개 조회수 미노출 | 최근30일게시수 미확인: 최근 12개가 모두 30일 안에 있어 전체 개수를 확정할 수 없음 | 평소좋아요율 미확인: 콘텐츠 원장에 계정평소좋아요율 원값 없음; 릴스 없음 큐 정리(2026-08-06): QUEUE.csv 정확한 보류사유 확인 후 완료 처리. 재방문예정일을 마지막 정면채굴일시+30일로 설정
yeogi_yaksa,여기약사 박현지 | 여성건강·임신준비·노산·난임,국내 약사 인플루언서,한국,7309,119,8,29000,198000,,,여성건강·임신준비·난임·임산부영양제·약국,,있음,김주성·오약·선영,B,실계정,,2026-08-05T23:48:02.549Z,DZKPfXno3RA,2026-08-12T04:20:28+09:00,E1 공개 웹 후보·Instagram 직접 확인,0,,"공개 프로필에서 인증·연세대 출신 약사·여성병원 옆 약사와 여성건강·임신준비 소개·관련 하이라이트를 확인; 게시물 본문은 별도 검토 대기 | 2026-08-05 최근12 관측: 조회수 12/12, 공개 좋아요 0/12 | 2026-08-05 최근12 관측 완료; 조회수·중앙값·최고조회수 미기록: 공개 조회수 미노출 | 평소좋아요율 미확인: 콘텐츠 원장에 계정평소좋아요율 원값 없음"
ummayaksa,엄마약사,국내 약사 인플루언서,,1537,780,1,945,1635,,,어린이건강·여성건강·임산부상담·약사모임,,있음,김주성·오약·선영,B,실계정,,2026-08-05T23:50:45.958Z,DbVQx11D-2x,2026-09-05T08:50:45.958+09:00,E1 공개 웹 후보·Instagram 직접 확인,0,,"2026-08-05 최근12 관측: 조회수 12/12, 공개 좋아요 0/12 | 2026-08-05 최근12 관측 완료; 조회수·중앙값·최고조회수 미기록: 공개 조회수 미노출 | 평소좋아요율 미확인: 콘텐츠 원장에 계정평소좋아요율 원값 없음; 릴스 없음 큐 정리(2026-08-06): QUEUE.csv 정확한 보류사유 확인 후 완료 처리. 재방문예정일을 마지막 정면채굴일시+30일로 설정"
miyu_pharm,비행약사,국내 약사 인플루언서,,1531,34,9,5269.5,155000,,,여행·일상·자기관리·약국·영양제,,없음,김주성·오약·선영,B,실계정,,2026-08-05T23:50:45.958Z,DbnD6r7Ce-j,2026-08-12T02:04:19+09:00,E1 공개 웹 후보·Instagram 직접 확인,0,,"2026-08-05 최근12 관측: 조회수 12/12, 공개 좋아요 0/12 | 2026-08-05 최근12 관측 완료; 조회수·중앙값·최고조회수 미기록: 공개 조회수 미노출 | 평소좋아요율 미확인: 콘텐츠 원장에 계정평소좋아요율 원값 없음"
yakin_magazine,yakin_magazine,국내 메디컬 인접 계정,,1430,151,11,534,589000,,,건강·영양제·디지털 콘텐츠,,있음,공용,B,실계정,,2026-08-06T00:36:40.337Z,DVqcz5YFO_f,2026-09-05T09:36:40.337+09:00,E1 공개 웹 후보·Instagram 직접 확인,0,,"2026-08-05 최근12 관측: 공개 릴스 12/12 확인, 공개 좋아요 미노출로 평소좋아요율 미기록 | 2026-08-06 최근12 관측 완료; 조회수·중앙값·최고조회수 미기록: 공개 조회수 미노출 | 평소좋아요율 미확인: 콘텐츠 원장에 계정평소좋아요율 원값 없음; 릴스 없음 큐 정리(2026-08-06): QUEUE.csv 정확한 보류사유 확인 후 완료 처리. 재방문예정일을 마지막 정면채굴일시+30일로 설정"
dongne__yaksa,동네약사 김학용,국내 약사 인플루언서,,5.6만,169,,,,,,혈당·염증·다이어트·직장인 건강관리·약국,,있음,김주성·오약·선영,B,실계정,,2026-08-05T23:39:20.281Z,DbpgwBwIEVd,2026-09-05T08:39:20.281+09:00,E1 공개 웹 후보·Instagram 직접 확인,0,,2026-08-05 최근12 관측 완료; 조회수·중앙값·최고조회수 미기록: 공개 조회수 미노출 | 최근30일게시수 미확인: 최근 12개가 모두 30일 안에 있어 전체 개수를 확정할 수 없음 | 평소좋아요율 미확인: 콘텐츠 원장에 계정평소좋아요율 원값 없음; 릴스 없음 큐 정리(2026-08-06): QUEUE.csv 정확한 보류사유 확인 후 완료 처리. 재방문예정일을 마지막 정면채굴일시+30일로 설정
__kang.yaksa,강약사 • Pharmacist • 강정이,국내 약사 인플루언서,,5.7만,1148,8,,,,,영양제·여성건강·다이어트·혈당·웰니스,,있음,김주성·오약·선영,B,실계정,,2026-08-05T23:39:20.281Z,DWP-iDxE-NN,2026-09-05T08:39:20.281+09:00,E1 공개 웹 후보·Instagram 직접 확인,0,,2026-08-05 최근12 관측 완료; 조회수·중앙값·최고조회수 미기록: 공개 조회수 미노출 | 평소좋아요율 미확인: 콘텐츠 원장에 계정평소좋아요율 원값 없음; 릴스 없음 큐 정리(2026-08-06): QUEUE.csv 정확한 보류사유 확인 후 완료 처리. 재방문예정일을 마지막 정면채굴일시+30일로 설정
sonyaksa_lab,손약사의 건강연구소 I 약사 손민수,국내 약사 인플루언서,,2.5만,113,9,,,,,만성염증·혈당·소화·피부·여성건강·수면,,있음,김주성·오약·선영,B,실계정,,2026-08-05T23:44:09.321Z,DVYjouwE8Rm,2026-09-05T08:44:09.321+09:00,E1 공개 웹 후보·Instagram 직접 확인,0,,2026-08-05 최근12 관측 완료; 조회수·중앙값·최고조회수 미기록: 공개 조회수 미노출 | 평소좋아요율 미확인: 콘텐츠 원장에 계정평소좋아요율 원값 없음; 릴스 없음 큐 정리(2026-08-06): QUEUE.csv 정확한 보류사유 확인 후 완료 처리. 재방문예정일을 마지막 정면채굴일시+30일로 설정
thefitpharmacist,The Fit Pharmacist | GYM | Supplements | Nutrition,해외 약사 인플루언서,,15,71,10,,,,,피트니스·영양·보충제·약사+영양사,,,공용,B,실계정,,2026-08-06T01:09:44.337Z,DboHYKsyTIh,2026-09-05T10:09:44.337+09:00,E1 공개 웹 후보·Instagram 직접 확인,0,,"2026-08-05 최근12 관측: 공개 릴스 4/12만 확인, 중앙값·최고조회수 미기록 사유: 공개 프로필 릴스 4건만 노출 | 2026-08-06 최근12 관측 완료; 조회수·중앙값·최고조회수 미기록: 공개 조회수 미노출 | 평소좋아요율 미확인: 콘텐츠 원장에 계정평소좋아요율 원값 없음; 릴스 없음 큐 정리(2026-08-06): QUEUE.csv 정확한 보류사유 확인 후 완료 처리. 재방문예정일을 마지막 정면채굴일시+30일로 설정"
thefulfilledpharmacist,Lisa Anne King,해외 약사 인플루언서,,2.5만,2479,,5728.5,484000,,,여성건강·폐경·약사·웰니스,,있음,공용,B,실계정,,2026-08-06T01:06:49.612Z,DUW8GzTCUix,2026-09-05T10:06:49.612+09:00,E1 공개 웹 후보·Instagram 직접 확인,0,,"2026-08-05 최근12 관측: 공개 릴스 12/12 확인, 공개 좋아요 미노출로 평소좋아요율 미기록 | 2026-08-06 최근12 관측 완료; 조회수·중앙값·최고조회수 미기록: 공개 조회수 미노출 | 최근30일게시수 미확인: 최근 12개 원문이 완전하지 않음 | 평소좋아요율 미확인: 콘텐츠 원장에 계정평소좋아요율 원값 없음; 릴스 없음 큐 정리(2026-08-06): QUEUE.csv 정확한 보류사유 확인 후 완료 처리. 재방문예정일을 마지막 정면채굴일시+30일로 설정"
pharmacist.jen,Pharmacist Jen,해외 약사 인플루언서,,78,24,,324.5,3682,,,스킨케어·웰니스·온라인 약사상담,,있음,공용,B,실계정,,2026-08-05T18:49:54.459Z,DbmBKMJoeAm,2026-09-05T03:49:54.459+09:00,E1 공개 웹 후보·Instagram 직접 확인,0,,"2026-08-05 최근12 관측: 공개 릴스 12/12 확인, 공개 좋아요 미노출로 평소좋아요율 미기록 | 최근30일게시수 미확인: 최근 12개 원문이 완전하지 않음 | 평소좋아요율 미확인: 콘텐츠 원장에 계정평소좋아요율 원값 없음; 릴스 없음 큐 정리(2026-08-06): QUEUE.csv 정확한 보류사유 확인 후 완료 처리. 재방문예정일을 마지막 정면채굴일시+30일로 설정"
cho_yak,"쪼약사, 조수진",국내 약사 인플루언서,,4.9만,364,,,,,,소아건강·여성건강·탈모·피부·약국,,있음,김주성·오약·선영,B,실계정,,2026-08-05T23:39:20.281Z,DbeqA04GHBO,2026-09-05T08:39:20.281+09:00,E1 공개 웹 후보·Instagram 직접 확인,0,,2026-08-05 최근12 관측 완료; 조회수·중앙값·최고조회수 미기록: 공개 조회수 미노출 | 최근30일게시수 미확인: 최근 12개가 모두 30일 안에 있어 전체 개수를 확정할 수 없음 | 평소좋아요율 미확인: 콘텐츠 원장에 계정평소좋아요율 원값 없음; 릴스 없음 큐 정리(2026-08-06): QUEUE.csv 정확한 보류사유 확인 후 완료 처리. 재방문예정일을 마지막 정면채굴일시+30일로 설정
time_yaksa,타임약사ㅣ최준혁,국내 약사 인플루언서,,1.9만,134,,,,,,복약지도·영양제·소화·탈모·약국,,있음,김주성·오약·선영,B,실계정,,2026-08-05T23:48:02.549Z,DbpKTPXRA2K,2026-09-05T08:48:02.549+09:00,E1 공개 웹 후보·Instagram 직접 확인,0,,2026-08-05 최근12 관측 완료; 조회수·중앙값·최고조회수 미기록: 공개 조회수 미노출 | 최근30일게시수 미확인: 최근 12개가 모두 30일 안에 있어 전체 개수를 확정할 수 없음 | 평소좋아요율 미확인: 콘텐츠 원장에 계정평소좋아요율 원값 없음; 릴스 없음 큐 정리(2026-08-06): QUEUE.csv 정확한 보류사유 확인 후 완료 처리. 재방문예정일을 마지막 정면채굴일시+30일로 설정
kkumyak,약사 | 이동섭,국내 약사 인플루언서,,8.9만,300,,36500,305000,,,약·영양제·피부·여성건강·소화,,있음,김주성·오약·선영,B,실계정,,2026-08-05T15:20:10.020Z,DLw4wbdyvwG,2026-09-05T00:20:10.020+09:00,E1 공개 웹 후보·Instagram 직접 확인,0,,"2026-08-05 최근12 관측: 조회수 12/12, 공개 좋아요 0/12 | 최근30일게시수 미확인: 최근 12개 원문이 완전하지 않음 | 평소좋아요율 미확인: 콘텐츠 원장에 계정평소좋아요율 원값 없음; 릴스 없음 큐 정리(2026-08-06): QUEUE.csv 정확한 보류사유 확인 후 완료 처리. 재방문예정일을 마지막 정면채굴일시+30일로 설정"
dr.hair_lee,압구정 헤어닥터 이건민,국내 메디컬 인접 계정,,2.1만,256,,23000,2419000,,,탈모·피부과·모발이식·두피,,있음,김주성·오약·선영,B,실계정,,2026-08-06T00:11:22.094Z,Dbp4M57ByHq,2026-09-05T09:11:22.094+09:00,E1 공개 웹 후보·Instagram 직접 확인,0,,"2026-08-05 최근12 관측: 조회수 12/12, 공개 좋아요 0/12 | 2026-08-06 최근12 관측 완료; 조회수·중앙값·최고조회수 미기록: 공개 조회수 미노출 | 최근30일게시수 미확인: 최근 12개가 모두 30일 안에 있어 전체 개수를 확정할 수 없음 | 평소좋아요율 미확인: 콘텐츠 원장에 계정평소좋아요율 원값 없음; 릴스 없음 큐 정리(2026-08-06): QUEUE.csv 정확한 보류사유 확인 후 완료 처리. 재방문예정일을 마지막 정면채굴일시+30일로 설정"
doctor_hwany,이동환,국내 메디컬 인접 계정,,3.2만,477,10,5463.5,320000,,,기능의학·항노화·영양·비만·건강,,있음,김주성·오약·선영,B,실계정,,2026-08-06T00:08:20.743Z,Dbj13MTkhY4,2026-09-05T09:08:20.743+09:00,E1 공개 웹 후보·Instagram 직접 확인,0,,"2026-08-05 최근12 관측: 조회수 12/12, 공개 좋아요 0/12 | 2026-08-06 최근12 관측 완료; 조회수·중앙값·최고조회수 미기록: 공개 조회수 미노출 | 평소좋아요율 미확인: 콘텐츠 원장에 계정평소좋아요율 원값 없음; 릴스 없음 큐 정리(2026-08-06): QUEUE.csv 정확한 보류사유 확인 후 완료 처리. 재방문예정일을 마지막 정면채굴일시+30일로 설정"
onda_pharmacist,온다약사,국내 약사 인플루언서,,1.3만,221,9,,,,,해독·순환·뷰티·영양제·약국,,있음,김주성·오약·선영,B,실계정,,2026-08-05T23:48:02.549Z,DVsHMOaD5Cv,2026-09-05T08:48:02.549+09:00,E1 공개 웹 후보·Instagram 직접 확인,0,,2026-08-05 최근12 관측 완료; 조회수·중앙값·최고조회수 미기록: 공개 조회수 미노출 | 평소좋아요율 미확인: 콘텐츠 원장에 계정평소좋아요율 원값 없음; 릴스 없음 큐 정리(2026-08-06): QUEUE.csv 정확한 보류사유 확인 후 완료 처리. 재방문예정일을 마지막 정면채굴일시+30일로 설정
zeroderma_official,강남역피부과 | 피부과전문의 | 제로피부과의원,국내 메디컬 인접 계정,,1825,173,11,4161,231000,,,피부과·여드름·피부시술·진료,,있음,김주성·오약·선영,B,실계정,,2026-08-06T00:34:35.514Z,DbXZ-lak9QT,2026-09-05T09:34:35.514+09:00,E1 공개 웹 후보·Instagram 직접 확인,0,,"2026-08-05 최근12 관측: 공개 릴스 12/12 확인, 공개 좋아요 미노출로 평소좋아요율 미기록 | 2026-08-06 최근12 관측 완료; 조회수·중앙값·최고조회수 미기록: 공개 조회수 미노출 | 평소좋아요율 미확인: 콘텐츠 원장에 계정평소좋아요율 원값 없음; 릴스 없음 큐 정리(2026-08-06): QUEUE.csv 정확한 보류사유 확인 후 완료 처리. 재방문예정일을 마지막 정면채굴일시+30일로 설정"
pink_yak_,핑크약 | 약사 박지현 | 여성건강·임신준비,국내 약사 인플루언서,,6.5만,164,0,,,,,여성건강·임신준비·난소·유방·자궁,,있음,김주성·오약·선영,B,실계정,,2026-08-05T23:37:20.362Z,DVP4hg8krAc,2026-09-05T08:37:20.362+09:00,E1 공개 웹 후보·Instagram 직접 확인,0,,2026-08-05 최근12 관측 완료; 조회수·중앙값·최고조회수 미기록: 공개 조회수 미노출 | 평소좋아요율 미확인: 콘텐츠 원장에 계정평소좋아요율 원값 없음; 릴스 없음 큐 정리(2026-08-06): QUEUE.csv 정확한 보류사유 확인 후 완료 처리. 재방문예정일을 마지막 정면채굴일시+30일로 설정
muse_yaksa,뮤즈약사 은지,국내 약사 인플루언서,,40,16,1,196.5,363,,,뷰티·다이어트·약국·영양제,,없음,김주성·오약·선영,B,실계정,,2026-08-05T23:54:15.819Z,DarzOaIpY1Z,2026-09-05T08:54:15.819+09:00,E1 공개 웹 후보·Instagram 직접 확인,0,,"2026-08-05 최근12 관측: 조회수 12/12, 공개 좋아요 0/12 | 2026-08-05 최근12 관측 완료; 조회수·중앙값·최고조회수 미기록: 공개 조회수 미노출 | 평소좋아요율 미확인: 콘텐츠 원장에 계정평소좋아요율 원값 없음; 릴스 없음 큐 정리(2026-08-06): QUEUE.csv 정확한 보류사유 확인 후 완료 처리. 재방문예정일을 마지막 정면채굴일시+30일로 설정"
dr_park_skin,솔직한 의사 파크 | K-뷰티 | 영양제,국내 메디컬 인접 계정,,1.8만,86,5,15000,183000,,,피부·영양제·K-뷰티·화장품,,있음,김주성·오약·선영,B,실계정,,2026-08-06T00:11:22.094Z,C1JW_mSL2KY,2026-09-05T09:11:22.094+09:00,E1 공개 웹 후보·Instagram 직접 확인,0,,"2026-08-05 최근12 관측: 조회수 12/12, 공개 좋아요 0/12 | 2026-08-06 최근12 관측 완료; 조회수·중앙값·최고조회수 미기록: 공개 조회수 미노출 | 평소좋아요율 미확인: 콘텐츠 원장에 계정평소좋아요율 원값 없음; 릴스 없음 큐 정리(2026-08-06): QUEUE.csv 정확한 보류사유 확인 후 완료 처리. 재방문예정일을 마지막 정면채굴일시+30일로 설정"
knjbio.official,김남주바이오,국내 메디컬 인접 계정,한국,1007,245,0,,,,,건강기능식품·장건강·소화·유산균,,있음,김주성·오약·선영,B,실계정,,2026-08-09T04:21:11+09:00,DEyYbS3z1X7,2026-08-21T01:19:19+09:00,E1 공개 웹 후보·Instagram 직접 확인 · E3 릴스 탭·Instagram 직접 확인,0,,"2026-08-05 최근12 관측: 공개 릴스 11/12만 확인, 중앙값·최고조회수 미기록 사유: 공개 프로필 릴스 11건만 노출 | 2026-08-06 최근12 관측 완료; 조회수·중앙값·최고조회수 미기록: 공개 조회수 미노출 | 최근30일게시수 미확인: 최근 12개 원문이 완전하지 않음 | 평소좋아요율 미확인: 콘텐츠 원장에 계정평소좋아요율 원값 없음 | 2026-08-06 재방문: 공개 프로필 게시물 최신 2026-05-21로 최근30일 게시수 0 확정; 릴스 탭 11개 노출. 대표 릴스 DEyYbS3z1X7는 2025-01-14·조회수 1,616회. 12번째 릴스와 최근12 중앙값·최고조회수·평소좋아요율은 미확인. 프로필 knjbio.com 및 자사 건강기능식품 홍보 확인. | 2026-08-07 재확인: 공개 릴스 11개만 노출(DEyYbS3z1X7 1621·C1BHP-IqRef 272·Cha7SxRjeRe 199·CceQlGGjxmO 196·CcRWg6QDLR2 137·Cb6tCLwDtCE 453·CUyfxZwh0qu 337·CUutmpXJ07d 250·CUodBloBqNu 250·CUb76zEpSgr 289·CUMUiUdJkIu 333); 팔로워 1007·게시물 245; 12번째 릴스·최근12 중앙값·최고조회수·평소좋아요율은 미확인 유지 | 2026-08-07T13:37:04+09:00 E1 로그인 세션 프로필 재확인: 팔로워 1007·게시물 245·릴스 탭 노출 확인; 탭 콘텐츠 로딩 중으로 새 릴스 지표·최근12 중앙값·최고조회수·평소좋아요율은 미확인 유지. | 2026-08-08T01:39:10+09:00 E1 공개 프로필 재확인: 팔로워 1006·팔로우 418·게시물 링크 12개·하이라이트 10개·외부 knjbio.com 링크 확인; 로그인 대화상자로 콘텐츠 상세는 미확인 유지. | 2026-08-09T04:21:11+09:00 로그인 read-only 재확인: 프로필 게시물 245·팔로워 1007·팔로우 418·건강/뷰티 확인; 릴스 11개 조회수 1622·272·199·196·137·453·337·250·250·289·333; 스크롤 후 12번째·추가 릴스 미노출로 recent12 중앙값·최고조회수는 공란 유지"
innerdew.official,InnerDew 이너듀,국내 메디컬 인접 계정,한국,280,8,,,,,,이너뷰티·다이어트·피부·영양제,,없음,김주성·오약·선영,B,실계정,,2026-08-09T04:33:58+09:00,DZpAtZZz52W,2026-08-21T01:31:50+09:00,E1 공개 웹 후보·Instagram 직접 확인; E3 Instagram 직접 확인,0,,"2026-08-05 최근12 관측: 공개 릴스 5/12만 확인, 중앙값·최고조회수 미기록 사유: 공개 프로필 릴스 5건만 노출 | 2026-08-06 최근12 관측 실패·부분 확인(8/12); 조회수·중앙값·최고조회수 미기록: 공개 조회수 미노출 | 최근30일게시수 미확인: 최근 12개 원문이 완전하지 않음 | 평소좋아요율 미확인: 콘텐츠 원장에 계정평소좋아요율 원값 없음 | 2026-08-06 E3 직접 확인: 공개 프로필 팔로워 280, 게시물 8, 팔로우 0, 릴스 5개 노출. 대표 릴스 DZpAtZZz52W 는 그리드 조회수 3.3만, 게시일 2026-06-16(화면 상대 표기 7주), 좋아요·댓글·공유 숫자 20·42·1은 지표 매핑이 불명확해 원장에 쓰지 않음. 최근12 전체와 최근30일 총량은 미확인. | 2026-08-07 재확인: 공개 릴스 5개만 노출(DZ44qRdh-zJ 217·DZpAtZZz52W 3.3만·DZZvTGRzVbi 294·DZUVy73Tmvz 316·DZMly9NTbV_ 2.3만); 팔로워 280·게시물 8; 대표 DZpAtZZz52W 게시일 2026-06-16·조회수 3.3만; 최근12·최근30일 총량·평소좋아요율은 미확인 유지 | 2026-08-07T13:37:04+09:00 E1 로그인 세션 프로필 재확인: 팔로워 280·게시물 8·릴스 탭 노출 확인; 탭 콘텐츠 로딩 중으로 새 콘텐츠 지표·최근12·최근30일 총량·평소좋아요율은 미확인 유지 | 2026-08-08T01:51:10+09:00 E1 공개 프로필 재확인: 팔로워 280·팔로우 0·게시물 8·공개 게시물 링크 8개·Threads 링크 확인; 로그인 대화상자로 콘텐츠 상세는 미확인 유지. | 2026-08-09T04:33:58+09:00 로그인 read-only 재확인: 프로필 게시물 8·팔로워 280·팔로우 0, 약사 누나×이너뷰티 대표 남동생·다이어트·피부 고민 끝내는 영양제 정보 확인; /reels/ 릴스 5개 조회수 221·3.3만·294·316·2.3만, 스크롤 후 추가 릴스 미노출로 recent12 중앙값·최고조회수 공란 유지"
daewonpharm,대원제약 (Daewon Pharm),국내 메디컬 인접 계정,,1854,133,9,890,89000,,,제약회사·건강정보·수면·고혈압·영양관리,,있음,김주성·오약·선영,B,실계정,,2026-08-06T00:34:35.514Z,DNwtGor5jIJ,2026-09-05T09:34:35.514+09:00,E1 공개 웹 후보·Instagram 직접 확인,0,,"2026-08-05 최근12 관측: 공개 릴스 12/12 확인, 공개 좋아요 미노출로 평소좋아요율 미기록 | 2026-08-06 최근12 관측 완료; 조회수·중앙값·최고조회수 미기록: 공개 조회수 미노출 | 평소좋아요율 미확인: 콘텐츠 원장에 계정평소좋아요율 원값 없음; 릴스 없음 큐 정리(2026-08-06): QUEUE.csv 정확한 보류사유 확인 후 완료 처리. 재방문예정일을 마지막 정면채굴일시+30일로 설정"
ana_yaksa,아나약사 | 김진아 • 건강 • 뷰티,국내 약사 인플루언서,,4.5만,274,,,,,,호르몬·만성염증·인슐린저항성·다이어트·여성건강,,있음,김주성·오약·선영,B,실계정,,2026-08-05T23:39:20.281Z,DbgDscdzZcn,2026-09-05T08:39:20.281+09:00,E1 공개 웹 후보·Instagram 직접 확인,0,,2026-08-05 최근12 관측 완료; 조회수·중앙값·최고조회수 미기록: 공개 조회수 미노출 | 최근30일게시수 미확인: 최근 12개가 모두 30일 안에 있어 전체 개수를 확정할 수 없음 | 평소좋아요율 미확인: 콘텐츠 원장에 계정평소좋아요율 원값 없음; 릴스 없음 큐 정리(2026-08-06): QUEUE.csv 정확한 보류사유 확인 후 완료 처리. 재방문예정일을 마지막 정면채굴일시+30일로 설정
